# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#
#  abcde
#  fghij
#  kLmno
#  pqrsT
#  tuvxz
#--
#  a as in father
#  b as in baby
#  c as in chess
#  d as in day
#  e as in help
#  f as in father
#  g as in good
#  h as in hello 
#  i as in me
#  j as in jupiter
#  k as in katherine
#  L as in lamb
#  m as in make
#  n as in now
#  o as in open 
#  p as in padre
#  q as in quickly
#  r as in rope
#  s as in simple
#  T like Today
#  t as in thanks
#  u as in Tube
#  v as in very
#  x as is nexT
#  z as in zebra
#--
#  one syllable per vowel
#  ubzeiu -> ub-ze-i-u  
#-----------------------ch 1
the : da
vision : zefaeL
of : asu
isaiah : isaiah
the : da
son : buuge
of : asu
amoz : amoz
which : zexu
he : sa
to_see (past) : uzeTo
concerning : ujumexizmuLka
judah : judah
and : oxe
jerusalem : jerusaLem
in : uL
the : da
days : bauriT
of : asu
Uzziah : uziah
and : oxe
jotham : jotam
and : oxe
ahaz : ahaz
and : oxe
hezekiah : hezekia
the : da
kings : vacuT
of : asu
israel : israeL
. : .
to_hear (imp) : ufnaa
o : o
heavens : toerehuT
and : oxe
to_listen (imp) :  unefdiLa
o : o 
earth : iovTa
. : .
for (conj) : huvupu
the : da
Lord : etme
have : ueLanad
to_speak (past) : ubisio
. : .
i : eLe
to_rear (past) : uvaezo
children : jentuuT
and : oxe
to_bring (past) : upzuLko
them : miim
up : maoho
but : pit
they : mi
to_rebel (past) : uvapano
against : egeemhutu
me : eLem
. : .
the : da
ox : savge
to_know : uqaLaru
its : safaza
owner : azmav
and : oxe
the : da
donkey : pumgii
to_know : uqaLaru
its : safaza
master's : duheLtaza
crib : qezup
. : .
but : pit
israel : israeL
to_do : utuTuu
not : mot
to_know : uqaLaru
. : .
my : eLemza
people : kuunim
to_do : utuTuu
not : mot
to_understand : uunLavau
. : .
sinful : timdunen
nation : moteuL
. : .
people : kuunim
laden : cunoTamuni
with : qemhe
iniquity : buLukaeti
. : .
offspring : ashuhbazuLkim
who : qiqo
to_do : utuTuu
evil : vuirum
. : .
children : jentuuT
who : qiqo
to_deal : uTaemu
corruptly : juvzobatmizi
, : ,
who : qiqo
have : ueLanad
to_forsake (past) : uhuvhegio
the : da
lord : etme
, : ,
who : qiqo
have : ueLanad
to_despise (past) : uTafbuhio
the : da
holy : suni
one : eLikam
of : asu
israel : israeL
, : ,
who : qiqo
to_be : uamu
utterly : odtivmizi
estranged (adj) : ihatzeLkitmo
. : .
'? : '? qqi
why : Leqahu
to_du : utuTuu
you : fema
to_seek : ufaigu
further (adv): hivTizazi
beatings : paeduLkim
'?: qqu
'? : '? qqi
why : Leqahu
to_do : utuTuu
you : fema
to_continue : uqabdu
to_rebel : uvapanu
'? : qqu '?
the : da 
whole (adj) : ququmo
head : baet
to_be : uamu
sick : fejgumo
and : oxe
the : da
whole (adj) : ququmo
heart : fiTam
to_be : uamu
faint (adj) : houLtmo
 . : .
from : hazani
the : da
sole : funa
of : asu
the : da
foot : exonge
even : iriL
to : tu
the : da
head : baet
, : ,
there : dava
to_be : uamu
no : iL
soundness : fuoLTamafha
in : uL
it : fa
, : ,
but : pit
bruises : pazoifim
and : oxe
sores : fuvaT
and : oxe
bleeding (adj) : pamiaTmo
wounds :   zuoLtaT
. : . : . : .: . : . : . : .
they : mi
have : ueLanad
not : mot
to_be (past) : uamo
drained : cuTzeemni
or : az
to_be (past) : uamo
bound : buemtuni
up : maoho
or : az
softened : pufuhdiLni
with : qemhe
oil : qaen
. : .
your : femaza
country : juoLtzu
to_lay : unouu
desolate (adj) : pafunotamo
. : .
your : femaza
cities :  qoiboLqeT
to_be : uamu
burned : cupivLuni
with : qemhe
fire : tine
. : .
in : uL
your : femaza
very (adj) : tufemo
presence : bazihiLja
aliens : emuamim
to_devour : uTazuouzu
your : femaza
land : nomta
. : .
it : fa
to_be : uamu
desolate : pafunotamo
, : ,
as : eh
overthrown : cuarizdazarni
by : pi
foreigners : huvauqamavim
. : .
and : oxe
daughter : titav
zion : zion
to_be : uamu
left : qunaerini
like : qiuL
a : a
booth : pacuatni
in : uL
a : a 
vineyard : zemaiovTa
, : ,
like : qiuL
a : a
shelter : fafimtav
in : uL
a : a
cucumber : qiqipav
field : heimtu
, : ,
like : qiuL
a : a
beseiged (adj) : pafauqitmo
city : qoiboLqe
. : .
if : fux
the : da
Lord : etme
of : asu
hosts : sufduT
have : ueLanad
not : mot
to_leave (past) : unaezao
us : La
a : a
few (adj) : hazamo
survivors : fivrurazim
then : fenmaem
we : Lam
would : zuomTuni
have : ueLanad
to_be : uamu
like : qiuL
sodom : sodom
and : oxe
to_become (past) : upajuLao
like : qiuL 
gomorrah : gomora
. : .
to_hear (imp) : ufnaa
the : da
word : zavTu
of : asu
the : da
Lord : etme
, : ,
you (pl)  femaT
rulers : vinavaT
of : asu
sodom : sodom
. : .
to_listen (imp) : unefdiLa
to : tu
the : da
teaching (noun) : obutaexasuLka
of : asu
our : Lamza
god : kut 
, : ,
you (pl) : femaT
people : kuunim
of (p): asu
gomorrah : gomora
. : .
'? : qq
what : Leta
to : tu
me : eLem
to_be : uamu
the : da
multitude : Lindudoti
of (p) : of
your : femaza
sacrifices : fojzusuxaT
'? : qqu '?
to_say : ubofu
the : da
Lord : etme
. : .
i : eLe
have : ueLanad
to_have (past) : utuseo
enough : iLaihu
of : asu
burnt (adj) : pivLatmo
offerings : buahsavuT
of : asu
rams : voLim
, : ,
and : oxe
the : da
fat : vofre
of : asu
fed : haTmo
beasts : paehatim
. : .
i : eLe
to_do : utuTuu
not : mot
to_delight : uTanetu
in : uL
the : da
blood : zave
of : asu
bulls : pinmiT
or : az
of: as
lambs : noLpaT
or : az
of : asu
goats : kuedaT
. : .
when : qom
you : fema
to_come : ujuLau
to_to_appear : tuebiovu
before : pahuv
me : eLem
, : ,
'? : '? qqi
who : qiqo
to_ask (past) : uqifo
this : def
from : hazani
your : femaza
hand : qafe
'? : qqu '?
to_trample : utzenbamiu
